Image_ID,Address,zs_dominant,yolo_dominant,yolo_status,comparable,dominant_agreement,l1_distance
1 EARL CT,1 EARL CT,Brick,Brick,success,yes,yes,0.483
1 WILLIG AVE,1 WILLIG AVE,Brick,Brick,success,yes,yes,0.0
10 W PALMER ST,10 W PALMER ST,Vinyl,Stucco,success,yes,no,1.0
10 WILLIG AVE,10 WILLIG AVE,Brick,Brick,success,yes,yes,0.0
100 W OXFORD ST,100 W OXFORD ST,Brick,Brick,success,yes,yes,0.138
100-06 E GIRARD AVE,100-06 E GIRARD AVE,Brick,Brick,success,yes,yes,0.0
1000-52 FRANKFORD AVE,1000-52 FRANKFORD AVE,Brick,Brick,success,yes,yes,0.0
1001-99 N DELAWARE AVE,1001-99 N DELAWARE AVE,Metal,Unknown,no_materials_found,no,,
1003 FRANKFORD AVE,1003 FRANKFORD AVE,Brick,Unknown,no_materials_found,no,,
1006 SARAH ST,1006 SARAH ST,Fibercement,Stucco,success,yes,no,1.0
1020-84 N DELAWARE AVE,1020-84 N DELAWARE AVE,Aluminum Composite,Unknown,no_materials_found,no,,
1022 E PALMER ST,1022 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1022 EARL ST,1022 EARL ST,Vinyl,Fibercement,success,yes,no,0.863
1023 E PALMER ST,1023 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1024 E EYRE ST,1024 E EYRE ST,Stucco,Stucco,success,yes,yes,0.333
1024 E PALMER ST,1024 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1024 EARL ST,1024 EARL ST,Vinyl,Fibercement,success,yes,no,0.863
1025 E COLUMBIA AVE,1025 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.333
1025 E PALMER ST,1025 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1025-29 E MONTGOMERY AVE,1025-29 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
1026 E EYRE ST,1026 E EYRE ST,Stucco,Stucco,success,yes,yes,0.333
1026 E PALMER ST,1026 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1026 EARL ST,1026 EARL ST,Vinyl,Fibercement,success,yes,no,0.673
1027 E COLUMBIA AVE,1027 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1027 E PALMER ST,1027 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1027 HYDE ST,1027 HYDE ST,Fibercement,Fibercement,success,yes,yes,0.333
1028 E EYRE ST,1028 E EYRE ST,Stucco,Stucco,success,yes,yes,0.25
1028 E PALMER ST,1028 E PALMER ST,Brick,Brick,success,yes,yes,0.25
1028 EARL ST,1028 EARL ST,Brick,Fibercement,success,yes,no,1.0
1028 SHACKAMAXON ST,1028 SHACKAMAXON ST,Stucco,Stucco,success,yes,yes,0.0
1028-30 E COLUMBIA AVE,1028-30 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.416
1029 E COLUMBIA AVE,1029 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.0
1029 E PALMER ST,1029 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1029 HYDE ST,1029 HYDE ST,Fibercement,Vinyl,success,yes,no,0.85
103-05 W GIRARD AVE,103-05 W GIRARD AVE,Stucco,Fibercement,success,yes,no,1.0
1030 E EYRE ST,1030 E EYRE ST,Stucco,Stucco,success,yes,yes,0.0
1030 E PALMER ST,1030 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1030 MARLBOROUGH ST,1030 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.333
1030 SHACKAMAXON ST,1030 SHACKAMAXON ST,Fibercement,Stucco,success,yes,no,1.0
1031 DAY ST,1031 DAY ST,Brick,Brick,success,yes,yes,0.25
1031 E PALMER ST,1031 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1031 EARL ST,1031 EARL ST,Brick,Brick,success,yes,yes,0.259
1031 SHACKAMAXON ST,1031 SHACKAMAXON ST,Brick,Brick,success,yes,yes,0.333
1032 CREASE ST,1032 CREASE ST,Brick,Brick,success,yes,yes,0.0
1032 E COLUMBIA AVE,1032 E COLUMBIA AVE,Brick,Brick,success,yes,yes,0.105
1032 E EYRE ST,1032 E EYRE ST,Stucco,Stucco,success,yes,yes,0.0
1032 E PALMER ST,1032 E PALMER ST,Brick,Brick,success,yes,yes,0.0
1032 MARLBOROUGH ST,1032 MARLBOROUGH ST,Brick,Brick,success,yes,yes,0.333
1032 N FRONT ST,1032 N FRONT ST,Brick,Brick,success,yes,yes,0.25
1033 CREASE ST,1033 CREASE ST,Stucco,Stucco,success,yes,yes,0.0
1033 E MONTGOMERY AVE,1033 E MONTGOMERY AVE,Brick,Brick,success,yes,yes,0.0
